trade_date,symbol,name,market,currency,asset_group,close,pct_change,volume,amount,source
20240102,000688.SH,科创50,CN_INDEX,点,中国科技指数,991.1465337028153,,2273336,,内置演示数据（首次在线更新后自动替换）
20240103,000688.SH,科创50,CN_INDEX,点,中国科技指数,973.8885827491991,-1.7412108469110343,41278650,,内置演示数据（首次在线更新后自动替换）
20240104,000688.SH,科创50,CN_INDEX,点,中国科技指数,958.7974226716772,-1.549577677039915,138527645,,内置演示数据（首次在线更新后自动替换）
20240105,000688.SH,科创50,CN_INDEX,点,中国科技指数,933.1853905516485,-2.6712662669306164,108348113,,内置演示数据（首次在线更新后自动替换）
20240108,000688.SH,科创50,CN_INDEX,点,中国科技指数,943.7877659310163,1.136148881745802,68228268,,内置演示数据（首次在线更新后自动替换）
20240109,000688.SH,科创50,CN_INDEX,点,中国科技指数,970.0862982172615,2.7864879409940757,96793704,,内置演示数据（首次在线更新后自动替换）
20240110,000688.SH,科创50,CN_INDEX,点,中国科技指数,991.3969101480417,2.1967748611585236,167786846,,内置演示数据（首次在线更新后自动替换）
20240111,000688.SH,科创50,CN_INDEX,点,中国科技指数,967.8466948031889,-2.3754578114769442,114742387,,内置演示数据（首次在线更新后自动替换）
20240112,000688.SH,科创50,CN_INDEX,点,中国科技指数,978.7698437362512,1.1286032169881555,12561176,,内置演示数据（首次在线更新后自动替换）
20240115,000688.SH,科创50,CN_INDEX,点,中国科技指数,1000.2228627673027,2.1918349005481286,10765735,,内置演示数据（首次在线更新后自动替换）
20240116,000688.SH,科创50,CN_INDEX,点,中国科技指数,993.7403619035921,-0.6481056477528946,96928046,,内置演示数据（首次在线更新后自动替换）
20240117,000688.SH,科创50,CN_INDEX,点,中国科技指数,995.602098900701,0.1873464205018882,81451014,,内置演示数据（首次在线更新后自动替换）
20240118,000688.SH,科创50,CN_INDEX,点,中国科技指数,966.4014068139273,-2.9329681123629325,170249772,,内置演示数据（首次在线更新后自动替换）
20240119,000688.SH,科创50,CN_INDEX,点,中国科技指数,970.61542145631,0.4360522048778348,117012674,,内置演示数据（首次在线更新后自动替换）
20240122,000688.SH,科创50,CN_INDEX,点,中国科技指数,955.5880684837517,-1.5482293646242762,151615524,,内置演示数据（首次在线更新后自动替换）
20240123,000688.SH,科创50,CN_INDEX,点,中国科技指数,958.7894074205811,0.3350124433752155,117453078,,内置演示数据（首次在线更新后自动替换）
20240124,000688.SH,科创50,CN_INDEX,点,中国科技指数,936.9251635631251,-2.2804010649509654,69710559,,内置演示数据（首次在线更新后自动替换）
20240125,000688.SH,科创50,CN_INDEX,点,中国科技指数,944.9162358822008,0.8529040130255128,131809458,,内置演示数据（首次在线更新后自动替换）
20240126,000688.SH,科创50,CN_INDEX,点,中国科技指数,959.8854691906886,1.584186273877708,124664297,,内置演示数据（首次在线更新后自动替换）
20240129,000688.SH,科创50,CN_INDEX,点,中国科技指数,949.0070965372161,-1.133299023960066,144322989,,内置演示数据（首次在线更新后自动替换）
20240130,000688.SH,科创50,CN_INDEX,点,中国科技指数,933.2866960897685,-1.6565103153399985,38658954,,内置演示数据（首次在线更新后自动替换）
