trade_date,index_code,index_name,pe_ttm,pb,source
20240102,000001.SH,上证综指,14.161775774077425,1.4,内置演示数据（首次在线更新后自动替换）
20240103,000001.SH,上证综指,14.463825906521606,1.4,内置演示数据（首次在线更新后自动替换）
20240104,000001.SH,上证综指,13.728595912341314,1.4,内置演示数据（首次在线更新后自动替换）
20240105,000001.SH,上证综指,13.979592292729807,1.4,内置演示数据（首次在线更新后自动替换）
20240108,000001.SH,上证综指,14.452694146063932,1.4,内置演示数据（首次在线更新后自动替换）
20240109,000001.SH,上证综指,14.716846996526376,1.4,内置演示数据（首次在线更新后自动替换）
20240110,000001.SH,上证综指,13.85193211475286,1.4,内置演示数据（首次在线更新后自动替换）
20240111,000001.SH,上证综指,13.953133202235579,1.4,内置演示数据（首次在线更新后自动替换）
20240112,000001.SH,上证综指,14.313996861676614,1.4,内置演示数据（首次在线更新后自动替换）
20240115,000001.SH,上证综指,14.051202748215331,1.4,内置演示数据（首次在线更新后自动替换）
20240116,000001.SH,上证综指,14.02157994041747,1.4,内置演示数据（首次在线更新后自动替换）
20240117,000001.SH,上证综指,14.347475464231444,1.4,内置演示数据（首次在线更新后自动替换）
20240118,000001.SH,上证综指,14.763702251069132,1.4,内置演示数据（首次在线更新后自动替换）
20240119,000001.SH,上证综指,13.930726860235474,1.4,内置演示数据（首次在线更新后自动替换）
20240122,000001.SH,上证综指,14.797716507521045,1.4,内置演示数据（首次在线更新后自动替换）
20240123,000001.SH,上证综指,14.200375827949674,1.4,内置演示数据（首次在线更新后自动替换）
20240124,000001.SH,上证综指,14.501076237967583,1.4,内置演示数据（首次在线更新后自动替换）
20240125,000001.SH,上证综指,14.899063862628774,1.4,内置演示数据（首次在线更新后自动替换）
20240126,000001.SH,上证综指,14.543809801954124,1.4,内置演示数据（首次在线更新后自动替换）
20240129,000001.SH,上证综指,14.381299767938662,1.4,内置演示数据（首次在线更新后自动替换）
20240130,000001.SH,上证综指,14.710260605317469,1.4,内置演示数据（首次在线更新后自动替换）
20240131,000001.SH,上证综指,14.467041581189358,1.4,内置演示数据（首次在线更新后自动替换）
20240201,000001.SH,上证综指,14.69949918879061,1.4,内置演示数据（首次在线更新后自动替换）
20240202,000001.SH,上证综指,14.505707149109138,1.4,内置演示数据（首次在线更新后自动替换）
20240205,000001.SH,上证综指,14.84938628241939,1.4,内置演示数据（首次在线更新后自动替换）
20240206,000001.SH,上证综指,14.196607521395698,1.4,内置演示数据（首次在线更新后自动替换）
20240207,000001.SH,上证综指,14.3345610844859,1.4,内置演示数据（首次在线更新后自动替换）
20240208,000001.SH,上证综指,14.23957980411054,1.4,内置演示数据（首次在线更新后自动替换）
20240209,000001.SH,上证综指,14.668866786152002,1.4,内置演示数据（首次在线更新后自动替换）
20240212,000001.SH,上证综指,14.250364278438367,1.4,内置演示数据（首次在线更新后自动替换）
20240213,000001.SH,上证综指,14.524995585652048,1.4,内置演示数据（首次在线更新后自动替换）
20240214,000001.SH,上证综指,14.42349733221727,1.4,内置演示数据（首次在线更新后自动替换）
20240215,000001.SH,上证综指,15.222739553478949,1.4,内置演示数据（首次在线更新后自动替换）
20240216,000001.SH,上证综指,14.504597658346507,1.4,内置演示数据（首次在线更新后自动替换）
20240219,000001.SH,上证综指,14.438677852609848,1.4,内置演示数据（首次在线更新后自动替换）
20240220,000001.SH,上证综指,14.921854074537606,1.4,内置演示数据（首次在线更新后自动替换）
20240221,000001.SH,上证综指,15.375977414590958,1.4,内置演示数据（首次在线更新后自动替换）
20240222,000001.SH,上证综指,14.8575535733038,1.4,内置演示数据（首次在线更新后自动替换）
20240223,000001.SH,上证综指,14.90306110241479,1.4,内置演示数据（首次在线更新后自动替换）
20240226,000001.SH,上证综指,15.324064413558022,1.4,内置演示数据（首次在线更新后自动替换）
20240227,000001.SH,上证综指,15.22231987867334,1.4,内置演示数据（首次在线更新后自动替换）
20240228,000001.SH,上证综指,15.108339656035865,1.4,内置演示数据（首次在线更新后自动替换）
20240229,000001.SH,上证综指,14.827723790827537,1.4,内置演示数据（首次在线更新后自动替换）
20240301,000001.SH,上证综指,15.160767602904347,1.4,内置演示数据（首次在线更新后自动替换）
20240304,000001.SH,上证综指,14.637139229255512,1.4,内置演示数据（首次在线更新后自动替换）
20240305,000001.SH,上证综指,14.87950268225426,1.4,内置演示数据（首次在线更新后自动替换）
20240306,000001.SH,上证综指,15.51710837665386,1.4,内置演示数据（首次在线更新后自动替换）
20240307,000001.SH,上证综指,15.499161674925636,1.4,内置演示数据（首次在线更新后自动替换）
